YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1973,4.18,4.26,6.03,7.95,12.24,15.05,16.36,18.16,15.24,11.14,7.35,5.68,4.41,8.74,16.52,11.24,10.23
1974,7.11,6.14,6.78,9.19,11.04,14.37,15.88,16.65,13.39,8.41,8.46,8.64,6.31,9.00,15.63,10.09,10.26
1975,7.96,5.72,5.69,8.69,10.39,14.42,17.47,19.05,15.15,10.51,7.10,3.49,7.44,8.26,16.98,10.92,10.90
1976,5.72,4.89,5.97,8.00,13.15,17.37,19.07,18.06,15.15,12.04,7.56,3.44,4.70,9.04,18.17,11.58,10.87
1977,4.10,7.34,8.19,7.92,11.21,13.19,16.20,15.53,13.38,12.70,7.92,7.38,4.96,9.11,14.97,11.33,10.09
1978,4.23,3.66,7.54,7.77,11.51,13.57,15.52,15.09,14.55,12.68,9.11,5.09,5.09,8.94,14.73,12.11,10.22
1979,0.37,3.25,6.11,8.26,10.68,13.70,16.43,15.40,14.29,11.86,8.08,6.93,2.90,8.35,15.18,11.41,9.46
1980,1.87,6.90,5.74,8.49,11.06,14.31,15.37,17.00,15.35,10.20,6.42,4.99,5.23,8.43,15.56,10.66,9.97
1981,5.41,3.16,9.42,8.22,11.62,13.66,15.98,16.75,14.89,10.35,8.35,4.67,4.52,9.75,15.46,11.20,10.23
1982,4.53,5.62,6.05,8.67,12.98,16.88,17.21,16.87,16.32,11.09,8.62,5.06,4.94,9.23,16.99,12.01,10.79
1983,7.06,1.77,6.50,7.90,11.17,15.04,19.94,17.65,15.99,11.59,8.09,5.28,4.63,8.52,17.54,11.89,10.65
1984,5.74,4.91,5.82,9.11,9.72,14.81,18.00,18.48,15.08,11.87,9.54,5.31,5.31,8.22,17.10,12.16,10.70
1985,0.58,2.92,5.51,9.11,11.48,14.07,17.44,15.71,15.63,11.25,4.95,6.78,2.94,8.70,15.74,10.61,9.50
